DATE,ZNR,ZNAME,BEZIRK,BEZIRK_NAME,LONGITUDE,LATITUDE,DTVMS,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet,DTVMS_ensemble,ISTCOVID19,POP,AUSPENDLER,PKW_DENSITY,CAR,PUBLIC_TRANSPORT,BY_FOOT,BIKE
2023-01-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,18541.0,,,,18541.0,18541.0,18541.0,18541.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-02-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,20045.0,,,,20045.0,20045.0,20045.0,20045.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-03-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,22037.0,,,,22037.0,22037.0,22037.0,22037.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-04-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,21427.0,,,,21427.0,21427.0,21427.0,21427.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-05-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,23247.0,,,,23247.0,23247.0,23247.0,23247.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-06-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,24428.0,,,,24428.0,24428.0,24428.0,24428.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-07-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,22567.0,,,,22567.0,22567.0,22567.0,22567.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-08-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,20420.0,,,,20420.0,20420.0,20420.0,20420.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-09-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,24065.0,,,,24065.0,24065.0,24065.0,24065.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-10-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,23385.0,,,,23385.0,23385.0,23385.0,23385.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-11-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,22728.0,,,,22728.0,22728.0,22728.0,22728.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2023-12-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,20432.0,,,,20432.0,20432.0,20432.0,20432.0,0.0,108269.0,0.101709926034369,316.8,0.254818761549601,0.3021937317062026,0.3510290499490463,0.0919584567951499
2024-01-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,19249.0,,,,19249.0,19249.0,19249.0,19249.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-02-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,20412.0,,,,20412.0,20412.0,20412.0,20412.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
