DATE,BEZIRK,AUSPENDLER
2019-02-01,1010,0.095
2019-03-01,1010,0.095
2019-04-01,1010,0.095
2019-05-01,1010,0.095
2019-06-01,1010,0.095
2019-07-01,1010,0.095
2019-08-01,1010,0.095
2019-09-01,1010,0.095
2019-10-01,1010,0.095
2019-11-01,1010,0.095
2019-12-01,1010,0.095
2020-01-01,1010,0.09300000000000001
2020-02-01,1010,0.09300000000000001
2020-03-01,1010,0.09300000000000001
2020-04-01,1010,0.09300000000000001
2020-05-01,1010,0.09300000000000001
2020-06-01,1010,0.09300000000000001
2020-07-01,1010,0.09300000000000001
2020-08-01,1010,0.09300000000000001
2020-09-01,1010,0.09300000000000001
2020-10-01,1010,0.09300000000000001
2020-11-01,1010,0.09300000000000001
2020-12-01,1010,0.09300000000000001
2021-01-01,1010,0.091
2021-02-01,1010,0.091
2021-03-01,1010,0.091
2021-04-01,1010,0.091
2021-05-01,1010,0.091
2021-06-01,1010,0.091
2021-07-01,1010,0.091
2021-08-01,1010,0.091
2021-09-01,1010,0.091
2021-10-01,1010,0.091
2021-11-01,1010,0.091
2021-12-01,1010,0.091
2022-01-01,1010,0.099
2022-02-01,1010,0.099
2022-03-01,1010,0.099
2022-04-01,1010,0.099
2022-05-01,1010,0.099
2022-06-01,1010,0.099
2022-07-01,1010,0.099
2022-08-01,1010,0.099
2022-09-01,1010,0.099
2022-10-01,1010,0.099
2022-11-01,1010,0.099
2022-12-01,1010,0.099
2023-01-01,1010,0.09609141236761992
2023-02-01,1010,0.09609141236761992
2023-03-01,1010,0.09609141236761992
2023-04-01,1010,0.09609141236761992
2023-05-01,1010,0.09609141236761992
2023-06-01,1010,0.09609141236761992
2023-07-01,1010,0.09609141236761992
2023-08-01,1010,0.09609141236761992
2023-09-01,1010,0.09609141236761992
2023-10-01,1010,0.09609141236761992
2023-11-01,1010,0.09609141236761992
2023-12-01,1010,0.09609141236761992
2024-01-01,1010,0.09519293777795237
2024-02-01,1010,0.09519293777795237
2024-03-01,1010,0.09519293777795237
2024-04-01,1010,0.09519293777795237
2024-05-01,1010,0.09519293777795237
2024-06-01,1010,0.09519293777795237
2024-07-01,1010,0.09519293777795237
2024-08-01,1010,0.09519293777795237
2024-09-01,1010,0.09519293777795237
2024-10-01,1010,0.09519293777795237
2024-11-01,1010,0.09519293777795237
2024-12-01,1010,0.09519293777795237
2025-01-01,1010,0.0949153953105048
2025-02-01,1010,0.0949153953105048
2025-03-01,1010,0.0949153953105048
2025-04-01,1010,0.0949153953105048
2025-05-01,1010,0.0949153953105048
2025-06-01,1010,0.0949153953105048
2025-07-01,1010,0.0949153953105048
2025-08-01,1010,0.0949153953105048
2025-09-01,1010,0.0949153953105048
2025-10-01,1010,0.0949153953105048
2025-11-01,1010,0.0949153953105048
2025-12-01,1010,0.0949153953105048
2026-01-01,1010,0.09482966130965187
2026-02-01,1010,0.09482966130965187
2026-03-01,1010,0.09482966130965187
2026-04-01,1010,0.09482966130965187
2026-05-01,1010,0.09482966130965187
2026-06-01,1010,0.09482966130965187
2026-07-01,1010,0.09482966130965187
2026-08-01,1010,0.09482966130965187
2026-09-01,1010,0.09482966130965187
2026-10-01,1010,0.09482966130965187
2026-11-01,1010,0.09482966130965187
2026-12-01,1010,0.09482966130965187
2027-01-01,1010,0.0948031777269056
2027-02-01,1010,0.0948031777269056
2027-03-01,1010,0.0948031777269056
2027-04-01,1010,0.0948031777269056
2027-05-01,1010,0.0948031777269056
2027-06-01,1010,0.0948031777269056
2027-07-01,1010,0.0948031777269056
2027-08-01,1010,0.0948031777269056
2027-09-01,1010,0.0948031777269056
2027-10-01,1010,0.0948031777269056
2027-11-01,1010,0.0948031777269056
2027-12-01,1010,0.0948031777269056
2028-01-01,1010,0.09479499684011505
2028-02-01,1010,0.09479499684011505
2028-03-01,1010,0.09479499684011505
2028-04-01,1010,0.09479499684011505
2028-05-01,1010,0.09479499684011505
2028-06-01,1010,0.09479499684011505
2028-07-01,1010,0.09479499684011505
2028-08-01,1010,0.09479499684011505
2028-09-01,1010,0.09479499684011505
2028-10-01,1010,0.09479499684011505
2028-11-01,1010,0.09479499684011505
2028-12-01,1010,0.09479499684011505
2029-01-01,1010,0.09479246973079905
2029-02-01,1010,0.09479246973079905
2029-03-01,1010,0.09479246973079905
2029-04-01,1010,0.09479246973079905
2029-05-01,1010,0.09479246973079905
2029-06-01,1010,0.09479246973079905
2029-07-01,1010,0.09479246973079905
2029-08-01,1010,0.09479246973079905
2029-09-01,1010,0.09479246973079905
2029-10-01,1010,0.09479246973079905
2029-11-01,1010,0.09479246973079905
2029-12-01,1010,0.09479246973079905
2030-01-01,1010,0.09479168909641812
2030-02-01,1010,0.09479168909641812
2030-03-01,1010,0.09479168909641812
2030-04-01,1010,0.09479168909641812
2030-05-01,1010,0.09479168909641812
2030-06-01,1010,0.09479168909641812
2030-07-01,1010,0.09479168909641812
2030-08-01,1010,0.09479168909641812
2030-09-01,1010,0.09479168909641812
2030-10-01,1010,0.09479168909641812
2030-11-01,1010,0.09479168909641812
2030-12-01,1010,0.09479168909641812
2011-01-01,1020,0.114
2011-02-01,1020,0.114
2011-03-01,1020,0.114
2011-04-01,1020,0.114
2011-05-01,1020,0.114
2011-06-01,1020,0.114
2011-07-01,1020,0.114
2011-08-01,1020,0.114
2011-09-01,1020,0.114
2011-10-01,1020,0.114
2011-11-01,1020,0.114
2011-12-01,1020,0.114
2012-01-01,1020,0.107
2012-02-01,1020,0.107
2012-03-01,1020,0.107
2012-04-01,1020,0.107
2012-05-01,1020,0.107
2012-06-01,1020,0.107
2012-07-01,1020,0.107
2012-08-01,1020,0.107
2012-09-01,1020,0.107
2012-10-01,1020,0.107
2012-11-01,1020,0.107
2012-12-01,1020,0.107
2013-01-01,1020,0.10400000000000001
2013-02-01,1020,0.10400000000000001
2013-03-01,1020,0.10400000000000001
2013-04-01,1020,0.10400000000000001
2013-05-01,1020,0.10400000000000001
2013-06-01,1020,0.10400000000000001
2013-07-01,1020,0.10400000000000001
2013-08-01,1020,0.10400000000000001
2013-09-01,1020,0.10400000000000001
2013-10-01,1020,0.10400000000000001
2013-11-01,1020,0.10400000000000001
2013-12-01,1020,0.10400000000000001
2014-01-01,1020,0.10400000000000001
2014-02-01,1020,0.10400000000000001
2014-03-01,1020,0.10400000000000001
2014-04-01,1020,0.10400000000000001
2014-05-01,1020,0.10400000000000001
2014-06-01,1020,0.10400000000000001
2014-07-01,1020,0.10400000000000001
2014-08-01,1020,0.10400000000000001
2014-09-01,1020,0.10400000000000001
2014-10-01,1020,0.10400000000000001
2014-11-01,1020,0.10400000000000001
2014-12-01,1020,0.10400000000000001
2015-01-01,1020,0.105
2015-02-01,1020,0.105
2015-03-01,1020,0.105
2015-04-01,1020,0.105
2015-05-01,1020,0.105
2015-06-01,1020,0.105
2015-07-01,1020,0.105
2015-08-01,1020,0.105
2015-09-01,1020,0.105
2015-10-01,1020,0.105
2015-11-01,1020,0.105
2015-12-01,1020,0.105
2016-01-01,1020,0.10800000000000001
2016-02-01,1020,0.10800000000000001
2016-03-01,1020,0.10800000000000001
2016-04-01,1020,0.10800000000000001
2016-05-01,1020,0.10800000000000001
2016-06-01,1020,0.10800000000000001
2016-07-01,1020,0.10800000000000001
2016-08-01,1020,0.10800000000000001
2016-09-01,1020,0.10800000000000001
2016-10-01,1020,0.10800000000000001
2016-11-01,1020,0.10800000000000001
2016-12-01,1020,0.10800000000000001
2017-01-01,1020,0.109
2017-02-01,1020,0.109
2017-03-01,1020,0.109
2017-04-01,1020,0.109
2017-05-01,1020,0.109
2017-06-01,1020,0.109
2017-07-01,1020,0.109
2017-08-01,1020,0.109
2017-09-01,1020,0.109
2017-10-01,1020,0.109
2017-11-01,1020,0.109
2017-12-01,1020,0.109
2018-01-01,1020,0.107
2018-02-01,1020,0.107
2018-03-01,1020,0.107
2018-04-01,1020,0.107
2018-05-01,1020,0.107
2018-06-01,1020,0.107
2018-07-01,1020,0.107
2018-08-01,1020,0.107
2018-09-01,1020,0.107
2018-10-01,1020,0.107
2018-11-01,1020,0.107
2018-12-01,1020,0.107
2019-01-01,1020,0.106
2019-02-01,1020,0.106
2019-03-01,1020,0.106
2019-04-01,1020,0.106
2019-05-01,1020,0.106
2019-06-01,1020,0.106
2019-07-01,1020,0.106
2019-08-01,1020,0.106
2019-09-01,1020,0.106
2019-10-01,1020,0.106
2019-11-01,1020,0.106
2019-12-01,1020,0.106
2020-01-01,1020,0.106
2020-02-01,1020,0.106
2020-03-01,1020,0.106
2020-04-01,1020,0.106
2020-05-01,1020,0.106
2020-06-01,1020,0.106
2020-07-01,1020,0.106
2020-08-01,1020,0.106
2020-09-01,1020,0.106
2020-10-01,1020,0.106
2020-11-01,1020,0.106
2020-12-01,1020,0.106
2021-01-01,1020,0.10800000000000001
2021-02-01,1020,0.10800000000000001
2021-03-01,1020,0.10800000000000001
2021-04-01,1020,0.10800000000000001
2021-05-01,1020,0.10800000000000001
2021-06-01,1020,0.10800000000000001
2021-07-01,1020,0.10800000000000001
2021-08-01,1020,0.10800000000000001
2021-09-01,1020,0.10800000000000001
2021-10-01,1020,0.10800000000000001
2021-11-01,1020,0.10800000000000001
2021-12-01,1020,0.10800000000000001
2022-01-01,1020,0.105
2022-02-01,1020,0.105
2022-03-01,1020,0.105
2022-04-01,1020,0.105
2022-05-01,1020,0.105
2022-06-01,1020,0.105
2022-07-01,1020,0.105
2022-08-01,1020,0.105
2022-09-01,1020,0.105
2022-10-01,1020,0.105
2022-11-01,1020,0.105
2022-12-01,1020,0.105
2023-01-01,1020,0.10170992603436906
2023-02-01,1020,0.10170992603436906
2023-03-01,1020,0.10170992603436906
2023-04-01,1020,0.10170992603436906
2023-05-01,1020,0.10170992603436906
2023-06-01,1020,0.10170992603436906
2023-07-01,1020,0.10170992603436906
2023-08-01,1020,0.10170992603436906
2023-09-01,1020,0.10170992603436906
2023-10-01,1020,0.10170992603436906
2023-11-01,1020,0.10170992603436906
2023-12-01,1020,0.10170992603436906
2024-01-01,1020,0.10095748918151236
2024-02-01,1020,0.10095748918151236
2024-03-01,1020,0.10095748918151236
2024-04-01,1020,0.10095748918151236
2024-05-01,1020,0.10095748918151236
2024-06-01,1020,0.10095748918151236
2024-07-01,1020,0.10095748918151236
2024-08-01,1020,0.10095748918151236
2024-09-01,1020,0.10095748918151236
2024-10-01,1020,0.10095748918151236
2024-11-01,1020,0.10095748918151236
2024-12-01,1020,0.10095748918151236
2025-01-01,1020,0.10078540757378829
2025-02-01,1020,0.10078540757378829
2025-03-01,1020,0.10078540757378829
2025-04-01,1020,0.10078540757378829
2025-05-01,1020,0.10078540757378829
2025-06-01,1020,0.10078540757378829
2025-07-01,1020,0.10078540757378829
2025-08-01,1020,0.10078540757378829
2025-09-01,1020,0.10078540757378829
2025-10-01,1020,0.10078540757378829
2025-11-01,1020,0.10078540757378829
2025-12-01,1020,0.10078540757378829
2026-01-01,1020,0.10074605267031103
2026-02-01,1020,0.10074605267031103
2026-03-01,1020,0.10074605267031103
2026-04-01,1020,0.10074605267031103
2026-05-01,1020,0.10074605267031103
2026-06-01,1020,0.10074605267031103
2026-07-01,1020,0.10074605267031103
2026-08-01,1020,0.10074605267031103
2026-09-01,1020,0.10074605267031103
2026-10-01,1020,0.10074605267031103
2026-11-01,1020,0.10074605267031103
2026-12-01,1020,0.10074605267031103
2027-01-01,1020,0.1007370522405255
2027-02-01,1020,0.1007370522405255
2027-03-01,1020,0.1007370522405255
2027-04-01,1020,0.1007370522405255
2027-05-01,1020,0.1007370522405255
2027-06-01,1020,0.1007370522405255
2027-07-01,1020,0.1007370522405255
2027-08-01,1020,0.1007370522405255
2027-09-01,1020,0.1007370522405255
2027-10-01,1020,0.1007370522405255
2027-11-01,1020,0.1007370522405255
2027-12-01,1020,0.1007370522405255
2028-01-01,1020,0.100734993850613
2028-02-01,1020,0.100734993850613
2028-03-01,1020,0.100734993850613
2028-04-01,1020,0.100734993850613
2028-05-01,1020,0.100734993850613
2028-06-01,1020,0.100734993850613
2028-07-01,1020,0.100734993850613
2028-08-01,1020,0.100734993850613
2028-09-01,1020,0.100734993850613
2028-10-01,1020,0.100734993850613
2028-11-01,1020,0.100734993850613
2028-12-01,1020,0.100734993850613
2029-01-01,1020,0.1007345230987564
2029-02-01,1020,0.1007345230987564
2029-03-01,1020,0.1007345230987564
2029-04-01,1020,0.1007345230987564
2029-05-01,1020,0.1007345230987564
2029-06-01,1020,0.1007345230987564
2029-07-01,1020,0.1007345230987564
2029-08-01,1020,0.1007345230987564
2029-09-01,1020,0.1007345230987564
2029-10-01,1020,0.1007345230987564
2029-11-01,1020,0.1007345230987564
2029-12-01,1020,0.1007345230987564
2030-01-01,1020,0.10073441543824506
2030-02-01,1020,0.10073441543824506
2030-03-01,1020,0.10073441543824506
2030-04-01,1020,0.10073441543824506
2030-05-01,1020,0.10073441543824506
2030-06-01,1020,0.10073441543824506
2030-07-01,1020,0.10073441543824506
2030-08-01,1020,0.10073441543824506
2030-09-01,1020,0.10073441543824506
2030-10-01,1020,0.10073441543824506
2030-11-01,1020,0.10073441543824506
2030-12-01,1020,0.10073441543824506
2011-01-01,1030,0.11699999999999999
2011-02-01,1030,0.11699999999999999
2011-03-01,1030,0.11699999999999999
2011-04-01,1030,0.11699999999999999
2011-05-01,1030,0.11699999999999999
2011-06-01,1030,0.11699999999999999
2011-07-01,1030,0.11699999999999999
2011-08-01,1030,0.11699999999999999
2011-09-01,1030,0.11699999999999999
2011-10-01,1030,0.11699999999999999
2011-11-01,1030,0.11699999999999999
2011-12-01,1030,0.11699999999999999
2012-01-01,1030,0.115
2012-02-01,1030,0.115
2012-03-01,1030,0.115
2012-04-01,1030,0.115
2012-05-01,1030,0.115
2012-06-01,1030,0.115
2012-07-01,1030,0.115
2012-08-01,1030,0.115
2012-09-01,1030,0.115
2012-10-01,1030,0.115
2012-11-01,1030,0.115
2012-12-01,1030,0.115
2013-01-01,1030,0.11199999999999999
2013-02-01,1030,0.11199999999999999
2013-03-01,1030,0.11199999999999999
2013-04-01,1030,0.11199999999999999
2013-05-01,1030,0.11199999999999999
2013-06-01,1030,0.11199999999999999
2013-07-01,1030,0.11199999999999999
2013-08-01,1030,0.11199999999999999
2013-09-01,1030,0.11199999999999999
2013-10-01,1030,0.11199999999999999
2013-11-01,1030,0.11199999999999999
2013-12-01,1030,0.11199999999999999
2014-01-01,1030,0.111
2014-02-01,1030,0.111
2014-03-01,1030,0.111
2014-04-01,1030,0.111
2014-05-01,1030,0.111
2014-06-01,1030,0.111
2014-07-01,1030,0.111
2014-08-01,1030,0.111
2014-09-01,1030,0.111
2014-10-01,1030,0.111
2014-11-01,1030,0.111
2014-12-01,1030,0.111
2015-01-01,1030,0.111
2015-02-01,1030,0.111
2015-03-01,1030,0.111
2015-04-01,1030,0.111
2015-05-01,1030,0.111
2015-06-01,1030,0.111
2015-07-01,1030,0.111
2015-08-01,1030,0.111
2015-09-01,1030,0.111
2015-10-01,1030,0.111
2015-11-01,1030,0.111
2015-12-01,1030,0.111
2016-01-01,1030,0.114
2016-02-01,1030,0.114
2016-03-01,1030,0.114
2016-04-01,1030,0.114
2016-05-01,1030,0.114
2016-06-01,1030,0.114
2016-07-01,1030,0.114
2016-08-01,1030,0.114
2016-09-01,1030,0.114
2016-10-01,1030,0.114
2016-11-01,1030,0.114
2016-12-01,1030,0.114
2017-01-01,1030,0.114
2017-02-01,1030,0.114
2017-03-01,1030,0.114
2017-04-01,1030,0.114
2017-05-01,1030,0.114
2017-06-01,1030,0.114
2017-07-01,1030,0.114
2017-08-01,1030,0.114
2017-09-01,1030,0.114
2017-10-01,1030,0.114
2017-11-01,1030,0.114
2017-12-01,1030,0.114
2018-01-01,1030,0.11599999999999999
2018-02-01,1030,0.11599999999999999
2018-03-01,1030,0.11599999999999999
2018-04-01,1030,0.11599999999999999
2018-05-01,1030,0.11599999999999999
2018-06-01,1030,0.11599999999999999
2018-07-01,1030,0.11599999999999999
2018-08-01,1030,0.11599999999999999
2018-09-01,1030,0.11599999999999999
2018-10-01,1030,0.11599999999999999
2018-11-01,1030,0.11599999999999999
2018-12-01,1030,0.11599999999999999
2019-01-01,1030,0.11599999999999999
2019-02-01,1030,0.11599999999999999
2019-03-01,1030,0.11599999999999999
2019-04-01,1030,0.11599999999999999
2019-05-01,1030,0.11599999999999999
2019-06-01,1030,0.11599999999999999
2019-07-01,1030,0.11599999999999999
2019-08-01,1030,0.11599999999999999
2019-09-01,1030,0.11599999999999999
2019-10-01,1030,0.11599999999999999
2019-11-01,1030,0.11599999999999999
2019-12-01,1030,0.11599999999999999
2020-01-01,1030,0.11800000000000001
2020-02-01,1030,0.11800000000000001
2020-03-01,1030,0.11800000000000001
2020-04-01,1030,0.11800000000000001
2020-05-01,1030,0.11800000000000001
2020-06-01,1030,0.11800000000000001
2020-07-01,1030,0.11800000000000001
2020-08-01,1030,0.11800000000000001
2020-09-01,1030,0.11800000000000001
2020-10-01,1030,0.11800000000000001
2020-11-01,1030,0.11800000000000001
2020-12-01,1030,0.11800000000000001
2021-01-01,1030,0.115
2021-02-01,1030,0.115
2021-03-01,1030,0.115
2021-04-01,1030,0.115
2021-05-01,1030,0.115
2021-06-01,1030,0.115
2021-07-01,1030,0.115
2021-08-01,1030,0.115
2021-09-01,1030,0.115
2021-10-01,1030,0.115
2021-11-01,1030,0.115
2021-12-01,1030,0.115
2022-01-01,1030,0.11699999999999999
2022-02-01,1030,0.11699999999999999
2022-03-01,1030,0.11699999999999999
2022-04-01,1030,0.11699999999999999
2022-05-01,1030,0.11699999999999999
2022-06-01,1030,0.11699999999999999
2022-07-01,1030,0.11699999999999999
2022-08-01,1030,0.11699999999999999
2022-09-01,1030,0.11699999999999999
2022-10-01,1030,0.11699999999999999
2022-11-01,1030,0.11699999999999999
2022-12-01,1030,0.11699999999999999
2023-01-01,1030,0.11594452310094087
2023-02-01,1030,0.11594452310094087
2023-03-01,1030,0.11594452310094087
2023-04-01,1030,0.11594452310094087
2023-05-01,1030,0.11594452310094087
2023-06-01,1030,0.11594452310094087
2023-07-01,1030,0.11594452310094087
2023-08-01,1030,0.11594452310094087
2023-09-01,1030,0.11594452310094087
2023-10-01,1030,0.11594452310094087
2023-11-01,1030,0.11594452310094087
2023-12-01,1030,0.11594452310094087
2024-01-01,1030,0.1169522508477743
2024-02-01,1030,0.1169522508477743
2024-03-01,1030,0.1169522508477743
2024-04-01,1030,0.1169522508477743
2024-05-01,1030,0.1169522508477743
2024-06-01,1030,0.1169522508477743
2024-07-01,1030,0.1169522508477743
2024-08-01,1030,0.1169522508477743
2024-09-01,1030,0.1169522508477743
2024-10-01,1030,0.1169522508477743
2024-11-01,1030,0.1169522508477743
2024-12-01,1030,0.1169522508477743
2025-01-01,1030,0.11599011210968989
2025-02-01,1030,0.11599011210968989
2025-03-01,1030,0.11599011210968989
2025-04-01,1030,0.11599011210968989
2025-05-01,1030,0.11599011210968989
2025-06-01,1030,0.11599011210968989
2025-07-01,1030,0.11599011210968989
2025-08-01,1030,0.11599011210968989
2025-09-01,1030,0.11599011210968989
2025-10-01,1030,0.11599011210968989
2025-11-01,1030,0.11599011210968989
2025-12-01,1030,0.11599011210968989
2026-01-01,1030,0.11690872425888545
2026-02-01,1030,0.11690872425888545
2026-03-01,1030,0.11690872425888545
2026-04-01,1030,0.11690872425888545
2026-05-01,1030,0.11690872425888545
2026-06-01,1030,0.11690872425888545
2026-07-01,1030,0.11690872425888545
2026-08-01,1030,0.11690872425888545
2026-09-01,1030,0.11690872425888545
2026-10-01,1030,0.11690872425888545
2026-11-01,1030,0.11690872425888545
2026-12-01,1030,0.11690872425888545
2027-01-01,1030,0.1160316695813763
2027-02-01,1030,0.1160316695813763
2027-03-01,1030,0.1160316695813763
2027-04-01,1030,0.1160316695813763
2027-05-01,1030,0.1160316695813763
2027-06-01,1030,0.1160316695813763
2027-07-01,1030,0.1160316695813763
2027-08-01,1030,0.1160316695813763
2027-09-01,1030,0.1160316695813763
2027-10-01,1030,0.1160316695813763
2027-11-01,1030,0.1160316695813763
2027-12-01,1030,0.1160316695813763
2028-01-01,1030,0.11686904682270093
2028-02-01,1030,0.11686904682270093
2028-03-01,1030,0.11686904682270093
2028-04-01,1030,0.11686904682270093
2028-05-01,1030,0.11686904682270093
2028-06-01,1030,0.11686904682270093
2028-07-01,1030,0.11686904682270093
2028-08-01,1030,0.11686904682270093
2028-09-01,1030,0.11686904682270093
2028-10-01,1030,0.11686904682270093
2028-11-01,1030,0.11686904682270093
2028-12-01,1030,0.11686904682270093
2029-01-01,1030,0.11606955203375585
2029-02-01,1030,0.11606955203375585
2029-03-01,1030,0.11606955203375585
2029-04-01,1030,0.11606955203375585
2029-05-01,1030,0.11606955203375585
2029-06-01,1030,0.11606955203375585
2029-07-01,1030,0.11606955203375585
2029-08-01,1030,0.11606955203375585
2029-09-01,1030,0.11606955203375585
2029-10-01,1030,0.11606955203375585
2029-11-01,1030,0.11606955203375585
2029-12-01,1030,0.11606955203375585
2030-01-01,1030,0.11683287815011795
2030-02-01,1030,0.11683287815011795
2030-03-01,1030,0.11683287815011795
2030-04-01,1030,0.11683287815011795
2030-05-01,1030,0.11683287815011795
2030-06-01,1030,0.11683287815011795
2030-07-01,1030,0.11683287815011795
2030-08-01,1030,0.11683287815011795
2030-09-01,1030,0.11683287815011795
2030-10-01,1030,0.11683287815011795
2030-11-01,1030,0.11683287815011795
2030-12-01,1030,0.11683287815011795
2011-01-01,1040,0.109
2011-02-01,1040,0.109
2011-03-01,1040,0.109
2011-04-01,1040,0.109
2011-05-01,1040,0.109
2011-06-01,1040,0.109
2011-07-01,1040,0.109
2011-08-01,1040,0.109
2011-09-01,1040,0.109
2011-10-01,1040,0.109
2011-11-01,1040,0.109
2011-12-01,1040,0.109
2012-01-01,1040,0.10800000000000001
2012-02-01,1040,0.10800000000000001
2012-03-01,1040,0.10800000000000001
2012-04-01,1040,0.10800000000000001
2012-05-01,1040,0.10800000000000001
2012-06-01,1040,0.10800000000000001
2012-07-01,1040,0.10800000000000001
2012-08-01,1040,0.10800000000000001
2012-09-01,1040,0.10800000000000001
2012-10-01,1040,0.10800000000000001
2012-11-01,1040,0.10800000000000001
2012-12-01,1040,0.10800000000000001
2013-01-01,1040,0.102
2013-02-01,1040,0.102
2013-03-01,1040,0.102
2013-04-01,1040,0.102
2013-05-01,1040,0.102
2013-06-01,1040,0.102
2013-07-01,1040,0.102
2013-08-01,1040,0.102
2013-09-01,1040,0.102
2013-10-01,1040,0.102
2013-11-01,1040,0.102
2013-12-01,1040,0.102
2014-01-01,1040,0.10099999999999999
2014-02-01,1040,0.10099999999999999
2014-03-01,1040,0.10099999999999999
2014-04-01,1040,0.10099999999999999
2014-05-01,1040,0.10099999999999999
2014-06-01,1040,0.10099999999999999
2014-07-01,1040,0.10099999999999999
2014-08-01,1040,0.10099999999999999
2014-09-01,1040,0.10099999999999999
2014-10-01,1040,0.10099999999999999
2014-11-01,1040,0.10099999999999999
2014-12-01,1040,0.10099999999999999
2015-01-01,1040,0.106
2015-02-01,1040,0.106
2015-03-01,1040,0.106
2015-04-01,1040,0.106
2015-05-01,1040,0.106
2015-06-01,1040,0.106
2015-07-01,1040,0.106
2015-08-01,1040,0.106
2015-09-01,1040,0.106
2015-10-01,1040,0.106
2015-11-01,1040,0.106
2015-12-01,1040,0.106
2016-01-01,1040,0.107
2016-02-01,1040,0.107
2016-03-01,1040,0.107
2016-04-01,1040,0.107
2016-05-01,1040,0.107
2016-06-01,1040,0.107
2016-07-01,1040,0.107
2016-08-01,1040,0.107
2016-09-01,1040,0.107
2016-10-01,1040,0.107
2016-11-01,1040,0.107
2016-12-01,1040,0.107
2017-01-01,1040,0.107
2017-02-01,1040,0.107
2017-03-01,1040,0.107
2017-04-01,1040,0.107
2017-05-01,1040,0.107
2017-06-01,1040,0.107
2017-07-01,1040,0.107
2017-08-01,1040,0.107
2017-09-01,1040,0.107
2017-10-01,1040,0.107
2017-11-01,1040,0.107
2017-12-01,1040,0.107
2018-01-01,1040,0.11199999999999999
2018-02-01,1040,0.11199999999999999
2018-03-01,1040,0.11199999999999999
2018-04-01,1040,0.11199999999999999
2018-05-01,1040,0.11199999999999999
2018-06-01,1040,0.11199999999999999
2018-07-01,1040,0.11199999999999999
2018-08-01,1040,0.11199999999999999
2018-09-01,1040,0.11199999999999999
2018-10-01,1040,0.11199999999999999
2018-11-01,1040,0.11199999999999999
2018-12-01,1040,0.11199999999999999
2019-01-01,1040,0.113
2019-02-01,1040,0.113
2019-03-01,1040,0.113
2019-04-01,1040,0.113
2019-05-01,1040,0.113
2019-06-01,1040,0.113
2019-07-01,1040,0.113
2019-08-01,1040,0.113
2019-09-01,1040,0.113
2019-10-01,1040,0.113
2019-11-01,1040,0.113
2019-12-01,1040,0.113
2020-01-01,1040,0.11599999999999999
2020-02-01,1040,0.11599999999999999
