ZNR,DATE,forecast,lower_95,upper_95
1616,2029-04-01,24462.541657484657,18732.474960251744,30192.60835471757
1616,2029-05-01,24643.34262284424,18888.3164615415,30398.36878414698
1616,2029-06-01,24814.555436641604,19038.017581000764,30591.093292282443
1616,2029-07-01,23143.05140824408,17346.881500028743,28939.221316459414
1616,2029-08-01,21857.46926346384,16042.726938760457,27672.211588167225
1616,2029-09-01,23910.839860137563,18078.072329009785,29743.60739126534
1616,2029-10-01,24444.89735775389,18594.122901386698,30295.67181412108
1616,2029-11-01,24459.64486031798,18589.747537033236,30329.542183602727
1616,2029-12-01,23659.39115888744,17765.951876416042,29552.830441358838
1616,2030-01-01,25040.76457942962,19037.590317651087,31043.93884120815
1616,2030-02-01,25977.69962021652,19899.662851232748,32055.736389200294
1616,2030-03-01,26431.284732274707,20305.616783473586,32556.95268107583
1616,2030-04-01,26463.00555081072,20303.572239603585,32622.438862017858
1616,2030-05-01,26643.807506202265,20457.409197851564,32830.205814552966
1616,2030-06-01,26815.019978119108,20605.161793370586,33024.87816286763
1616,2030-07-01,25143.51525769941,18912.116466965672,31374.91404843315
1616,2030-08-01,23857.932430893645,17606.080421384442,30109.784440402847
1616,2030-09-01,25911.3046857695,19639.563056494313,32183.04631504469
1616,2030-10-01,26445.361759318504,20153.746496531858,32736.97702210515
1616,2030-11-01,26460.1096592684,20147.44927254772,32772.77004598908
1616,2030-12-01,25659.856244885825,19321.471711439855,31998.240778331794
1617,2025-01-01,12825.571232542978,10880.5882290416,14770.554236044356
1617,2025-02-01,13686.711094553262,11082.838228373104,16290.58396073342
1617,2025-03-01,13962.270661141869,10935.108496282408,16989.432826001328
1617,2025-04-01,13999.639928899152,10672.927793487366,17326.35206431094
1617,2025-05-01,13803.902542675147,10255.161668172017,17352.64341717828
1617,2025-06-01,14151.490180443594,10433.455196230094,17869.525164657094
1617,2025-07-01,12757.721244519344,8908.008998518304,16607.433490520383
1617,2025-08-01,12111.727854131372,8158.01057010023,16065.445138162513
1617,2025-09-01,13611.259469354001,9574.3402795882,17648.178659119803
1617,2025-10-01,13939.574936792313,9835.349845563258,18043.800028021367
1617,2025-11-01,13755.65594957539,9596.428877085156,17914.883022065624
1617,2025-12-01,12935.199552669335,8730.596031341114,17139.80307399756
1617,2026-01-01,12985.782208904158,8403.356562553041,17568.207855255278
1617,2026-02-01,13800.74576698101,8933.731244578503,18667.760289383517
1617,2026-03-01,13975.594851078116,8888.547763237559,19062.641938918674
1617,2026-04-01,14118.19341953515,8857.75473181646,19378.63210725384
1617,2026-05-01,13817.904517544754,8418.743354092234,19217.06568099727
1617,2026-06-01,14144.966155111528,8633.38703148143,19656.545278741625
1617,2026-07-01,12765.963390737743,7162.240597222188,18369.686184253296
1617,2026-08-01,12161.616401819658,6481.575239912411,17841.657563726905
1617,2026-09-01,13598.561643342866,7854.686109732104,19342.437176953626
1617,2026-10-01,13996.204520710977,8198.433268030305,19793.97577339165
1617,2026-11-01,13771.616709958122,7927.926450303484,19615.30696961276
1617,2026-12-01,12928.400960992847,7045.240889245452,18811.561032740243
1617,2027-01-01,13248.22489311517,6989.935793377976,19506.513992852364
1617,2027-02-01,14081.588025829755,7531.756032812263,20631.420018847246
1617,2027-03-01,14292.288986135565,7511.389814700476,21073.188157570654
1617,2027-04-01,14402.940015317698,7436.021886192649,21369.858144442747
1617,2027-05-01,14139.092208016984,7020.425423638151,21257.758992395815
1617,2027-06-01,14474.80410824815,7230.884126765677,21718.724089730626
1617,2027-07-01,13092.654349341698,5744.233479147168,20441.07521953623
1617,2027-08-01,12476.147664702352,5039.657428954391,19912.63790045031
1617,2027-09-01,13934.88457738512,6423.457730397669,21446.311424372572
1617,2027-10-01,14310.957987104572,6735.177935835152,21886.73803837399
1617,2027-11-01,14100.682333963516,6469.141695553631,21732.2229723734
1617,2027-12-01,13265.79019898834,5585.51272187906,20946.06767609762
1617,2028-01-01,13416.439251502597,5413.408367379136,21419.47013562606
1617,2028-02-01,14244.444197822362,5982.775007767508,22506.113387877216
1617,2028-03-01,14443.988646934682,5971.987859621544,22915.989434247822
1617,2028-04-01,14565.614104701905,5920.374159952538,23210.85404945127
1617,2028-05-01,14290.280641528807,5500.709414858593,23079.85186819902
1617,2028-06-01,14623.55238146783,5712.45470792692,23534.650055008744
1617,2028-07-01,13242.777159450954,4228.329462568039,22257.22485633387
1617,2028-08-01,12630.553855336446,3527.373824542945,21733.733886129947
1617,2028-09-01,14082.418052228604,4902.355241585026,23262.48086287218
