ZNR,DATE,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet
1078,2029-03-01,69341.49364849672,66399.31256876976,66262.96440596916
1078,2029-04-01,68148.79643917375,66122.17292745787,64606.03237876661
1078,2029-05-01,69348.6286197894,65638.22542358139,66610.02374835897
1078,2029-06-01,70307.17716917956,66822.889022838,67972.78257263546
1078,2029-07-01,64521.46219427697,58972.81854291777,60535.22127275099
1078,2029-08-01,62516.447320934414,56826.686186650935,58276.25171632446
1078,2029-09-01,70072.29113757632,66019.78411564312,67849.7395033607
1078,2029-10-01,69835.92952855924,65597.47184541091,67727.06373373546
1078,2029-11-01,68313.58772179631,65249.43029446694,65809.97589597933
1078,2029-12-01,65905.62381602623,62593.338067268895,63291.081988256505
1078,2030-01-01,65768.40477035636,61310.05638778813,61327.61552403625
1078,2030-02-01,69558.72343982989,65439.73782196368,66106.42543983295
1078,2030-03-01,69131.4321526548,65685.54705337853,65501.599971316915
1078,2030-04-01,67937.69601328913,65408.406243200465,63987.65474881174
1078,2030-05-01,69139.01302786925,64924.46201149594,65735.36250116995
1078,2030-06-01,70097.46658647743,66109.12619813484,66934.23153530287
1078,2030-07-01,64313.33317877369,58259.05820257293,59947.31531711368
1078,2030-08-01,62308.39688021292,56112.92610942974,57399.87427204879
1078,2030-09-01,69863.36511785562,65306.02400159616,67127.24169942035
1078,2030-10-01,69626.96457073913,64883.71131211514,66931.21669599705
1078,2030-11-01,68103.59099731657,64535.66809362735,65107.278572829724
1078,2030-12-01,65695.6791296208,61879.5756252229,62294.68637785913
1089,2025-01-01,24283.66881008228,22571.18967754983,21729.97967700373
1089,2025-02-01,26264.081383809535,24742.331910499397,24637.179775213077
1089,2025-03-01,28219.38577406999,25894.937426774904,25388.89145101566
1089,2025-04-01,28659.633056587074,26177.70331963488,25560.848756412382
1089,2025-05-01,28499.62689765371,26568.003246607885,26634.627752782908
1089,2025-06-01,29628.419152510498,27745.93714096626,27885.914873227714
1089,2025-07-01,25590.157469164842,24313.23940924011,24554.20504158032
1089,2025-08-01,24103.922034955,22780.70983054918,23108.44242673165
1089,2025-09-01,27879.88867964284,26339.812201309538,26697.363308977554
1089,2025-10-01,27568.37832414129,26014.249533639984,26597.249145683243
1089,2025-11-01,27597.860665729066,25544.97454423627,25455.89725821358
1089,2025-12-01,25168.234958529152,23154.97563595707,23058.97825613705
1089,2026-01-01,25476.19779363458,21929.72383246527,21136.948304431244
1089,2026-02-01,27379.037802993815,24167.34166477297,23822.712332014584
1089,2026-03-01,28821.691713018285,25359.665163916827,24859.88826557192
1089,2026-04-01,29924.501908554375,25740.382520988365,25043.094950829967
1089,2026-05-01,28928.71640828837,26049.885054056886,26164.3169510499
1089,2026-06-01,30021.32146301103,27234.15953839336,27277.25587382843
1089,2026-07-01,26953.874019738112,23869.624922855146,23680.974719382502
1089,2026-08-01,25288.726462299237,22327.448521424787,22439.962602068954
