ZNR,Public_Transport_Id
1171,1759
1171,1980
1171,1981
1171,1986
1171,2083
1171,2087
1171,2096
1171,2101
1171,2198
1171,2237
1171,2303
1171,2320
1171,2321
1171,2431
1171,2450
1171,2451
1171,2596
1171,2626
1171,2628
1171,2630
1171,2631
1171,2635
1171,2636
1171,2637
1171,2638
1171,2641
1171,2642
1171,3097
1171,3173
1171,3536
1171,3544
1171,3546
1171,3609
1171,3639
1171,3640
1171,3683
1171,3684
1171,3685
1171,3715
1171,3717
1171,3795
1171,3877
1171,4070
1171,4203
1171,4299
1171,4306
1171,4307
1171,4332
1171,4340
1171,4347
1171,4348
1171,4349
1171,4350
1171,4351
1171,4385
1171,4547
1171,4548
1171,4549
1171,4604
1172,11
1172,47
1172,57
1172,58
1172,80
1172,81
1172,141
1172,154
1172,170
1172,189
1172,229
1172,230
1172,231
1172,250
1172,334
1172,344
1172,387
1172,395
1172,396
1172,404
1172,455
1172,484
1172,485
1172,486
1172,487
1172,529
1172,532
1172,533
1172,534
1172,535
1172,536
1172,537
1172,538
1172,539
1172,540
1172,541
1172,542
1172,543
1172,544
1172,545
1172,546
1172,547
1172,549
1172,550
1172,576
1172,577
1172,809
1172,837
1172,973
1172,1044
1172,1045
1172,1046
1172,1121
1172,1167
1172,1196
1172,1197
1172,1198
1172,1203
1172,1226
1172,1227
1172,1349
1172,1541
1172,1542
1172,1543
1172,1544
1172,1545
1172,1546
1172,1637
1172,1661
1172,1662
1172,1663
1172,1665
1172,1666
1172,1667
1172,1668
1172,1672
1172,1728
1172,1748
1172,1758
1172,1759
1172,1980
1172,1981
1172,1986
1172,2083
1172,2087
1172,2096
1172,2101
1172,2198
1172,2237
1172,2303
1172,2320
1172,2321
1172,2431
1172,2450
1172,2451
1172,2596
1172,2626
1172,2628
1172,2630
1172,2631
1172,2635
1172,2636
1172,2637
1172,2638
1172,2641
1172,2642
1172,3097
1172,3536
1172,3544
1172,3546
1172,3639
1172,3640
1172,3683
1172,3684
1172,3685
1172,3715
1172,3717
1172,3795
1172,3814
1172,3815
1172,3877
1172,4070
1172,4203
1172,4299
1172,4306
1172,4307
1172,4332
1172,4340
1172,4347
1172,4348
1172,4349
1172,4350
1172,4351
1172,4385
1172,4547
1172,4548
1172,4549
1172,4604
1177,28
1177,142
1177,143
1177,144
1177,472
1177,938
1177,939
1177,1063
1177,1065
1177,1537
1177,1778
1177,2296
1177,2490
1177,2491
1177,2515
1177,2516
1177,2779
1177,2792
1177,2793
1177,2795
1177,2796
1177,3052
1177,3053
1177,3069
1177,3070
1177,3072
1177,3077
1177,3079
1177,3674
1177,3780
1177,3879
1177,4136
1177,4137
1177,4292
1177,4472
1179,12
1179,128
1179,508
1179,566
1179,675
1179,676
1179,678
1179,680
1179,681
1179,683
1179,685
1179,686
1179,1208
1179,2109
1179,2110
1179,2111
1179,2112
1179,2113
1179,2118
1179,2160
1179,2163
1179,2164
1179,2167
1179,2183
1179,3710
1179,4049
1179,4091
1179,4232
1179,4233
1179,4406
1179,4407
1179,4411
1179,4412
1180,335
1180,852
1180,854
1180,855
1180,863
1180,864
1180,927
1180,974
1180,1071
1180,1072
1180,1073
1180,1074
1180,1173
1180,1174
1180,1231
1180,1232
1180,1233
1180,1484
1180,1734
1180,2099
1180,2119
1180,2124
1180,2125
1180,2127
1180,2128
1180,2129
1180,2130
1180,2131
1180,2378
1180,2379
1180,3349
1180,3889
1180,4057
1180,4058
1180,4528
1181,180
1181,613
1181,852
1181,853
1181,1070
1181,1072
1181,1173
1181,2100
1181,2132
1181,3723
1181,4050
1182,135
1182,137
1182,138
1182,139
1182,202
1182,224
1182,709
1182,719
1182,1143
1182,1291
1182,1292
1182,1293
1182,1357
1182,1358
1182,1360
1182,1361
1182,1576
1182,1577
1182,1585
1182,1586
1182,1587
1182,1588
1182,1589
1182,1596
1182,3594
1182,4013
1182,4014
1182,4015
1182,4016
1182,4017
1182,4018
1182,4103
1184,4037
1187,7
1187,36
1187,126
1187,278
1187,607
1187,657
1187,674
1187,679
1187,684
1187,1209
1187,1229
1187,2172
1187,2179
1187,2181
1187,2184
1187,2185
1187,2187
1187,2188
1187,2693
1187,2694
1187,2701
1187,3364
1187,3366
1187,3372
1187,3373
1187,3374
1187,3375
1187,3378
