Id,Name,Latitude,Longitude,Kategorie,Bezirk_Code
1334,Skodagasse,48.2152043,16.3487896,Straßenbahn,909
1335,Lange Gasse,48.2150114,16.3504599,Straßenbahn,908
1336,Skodagasse,48.2151732,16.3488153,Straßenbahn,908
1337,Brünnlbadgasse,48.2154976,16.3453903,Straßenbahn,909
1338,Brünnlbadgasse,48.2154116,16.3464121,Straßenbahn,909
1339,Lazarettgasse,48.2185988,16.3515884,Straßenbahn,909
1340,Johann-Nepomuk-Berger-Platz,48.2135506,16.3255732,Straßenbahn,917
1341,Am Heumarkt,48.1984609,16.3770924,Straßenbahn,903
1342,Litfaßstraße,48.1833435,16.4061285,Straßenbahn,911
1343,Molitorgasse,48.1819914,16.4076995,Straßenbahn,911
1344,Oberzellergasse,48.1917348,16.3952189,Straßenbahn,903
1345,St. Marx,48.1883852,16.3993349,Straßenbahn,903
1346,Längenfeldgasse,48.1849076,16.3350847,U-Bahn,912
1347,Kettenbrückengasse,48.1966226,16.3581038,U-Bahn,905
1348,Pilgramgasse,48.1921234,16.3543024,U-Bahn,905
1349,Wien Mitte CAT,48.2078784,16.3865735,Zug,903
1350,Hardeggasse,48.2209522,16.4577621,U-Bahn,922
1351,Stadlau,48.2198301,16.4495092,U-Bahn,922
1352,Seestadt,48.226247,16.5084951,U-Bahn,922
1353,Donauspital,48.2194679,16.4666642,U-Bahn,922
1354,Aspern Nord,48.2345713,16.504483,U-Bahn,922
1355,Zentralfriedhof 2. Tor,48.1543642,16.4423282,Straßenbahn,911
1356,Weißenböckstraße,48.1618935,16.4289252,Straßenbahn,911
1357,Zentralfriedhof 4. Tor,48.1518736,16.4536069,Straßenbahn,911
1358,Zentralfriedhof 4. Tor,48.1516436,16.4526025,Straßenbahn,911
1359,Zentralfriedhof 1. Tor,48.1587653,16.433801,Straßenbahn,911
1360,Zentralfriedhof 3. Tor,48.1523996,16.4497819,Straßenbahn,911
1361,Hauptwerkstätte,48.1499559,16.4572395,Straßenbahn,911
1362,Zentralfriedhof 2. Tor,48.1546582,16.4415844,Straßenbahn,911
1363,Laxenburger Straße/Gudrunstraße,48.178718,16.3737809,Straßenbahn,910
1364,Columbusplatz,48.1823044,16.3737303,Straßenbahn,910
1365,Quellenplatz,48.1760619,16.3735832,Straßenbahn,910
1366,Laxenburger Straße/Gudrunstraße,48.1779789,16.3737193,Straßenbahn,910
1367,Columbusplatz,48.1817741,16.3737231,Straßenbahn,910
1368,Arthaberplatz,48.171841,16.3718923,Straßenbahn,910
1369,Arthaberplatz,48.1731627,16.3724266,Straßenbahn,910
1370,Kaisermühlen - VIC,48.232844,16.4163974,U-Bahn,922
1371,Schrankenberggasse,48.1738463,16.3893767,Straßenbahn,910
1372,Schrankenberggasse,48.1739554,16.3888941,Straßenbahn,910
1373,Quellenplatz,48.175652,16.3730698,Bus,910
1374,Gellertplatz,48.1750367,16.3819852,Bus,910
1375,Reumannplatz,48.1753667,16.3770487,Bus,910
1376,Gellertplatz,48.1749015,16.3833871,Bus,910
1377,Reumannplatz,48.1753268,16.3781226,Straßenbahn,910
1378,Quellenplatz,48.1755858,16.3742398,Bus,910
1379,Süßenbrunner Straße/Oberfeldgasse,48.2428996,16.4689234,Straßenbahn,922
1380,Klinik Favoriten,48.1750276,16.349236,Bus,910
1381,Lange Gasse,48.2149666,16.3513999,Straßenbahn,909
1382,Am Tabor,48.225511,16.3837906,Straßenbahn,902
1383,Nordbahnstraße,48.2232715,16.3894447,Straßenbahn,902
1384,Nordbahnstraße,48.2237622,16.3888435,Straßenbahn,902
1385,Am Tabor,48.2255393,16.3830673,Straßenbahn,902
1386,Am Tabor,48.2250716,16.3840628,Straßenbahn,902
1387,Mühlfeldgasse,48.2204629,16.3900848,Straßenbahn,902
1388,Heinestraße,48.2225982,16.3824697,Bus,902
1389,Heinestraße,48.2219219,16.382212,Bus,902
1390,Franzensbrücke,48.2139096,16.3915229,Bus,902
1391,Franzensbrücke,48.2139049,16.3914833,Bus,902
1392,Dresdner Straße,48.2371927,16.3792377,Straßenbahn,920
1393,Jägerstraße,48.2361974,16.3697931,Straßenbahn,920
1394,Jägerstraße,48.2362128,16.3697197,Straßenbahn,920
1395,Innstraße,48.2307464,16.386518,Straßenbahn,920
1396,Traisengasse,48.233735,16.3831934,Straßenbahn,920
1397,Innstraße,48.2302985,16.3870694,Straßenbahn,902
1398,Traisengasse,48.2336981,16.38319,Straßenbahn,920
1399,Felmayergasse,48.2719298,16.4320274,Bus,921
1400,Hermann-Gebauer-Straße,48.2671862,16.4744678,Bus,922
1401,Mühlau,48.2097667,16.5036055,Bus,922
1402,Josefstädter Straße,48.2117505,16.3394562,Straßenbahn,908
1403,Josefstädter Straße,48.2111108,16.3392528,Straßenbahn,908
1404,Josefstädter Straße,48.211093,16.338986,Straßenbahn,916
1405,Thaliastraße/Brunnengasse,48.2090084,16.3357319,Straßenbahn,916
1406,Feßtgasse,48.2107145,16.3243934,Straßenbahn,916
1407,Schuhmeierplatz,48.2116387,16.3183597,Straßenbahn,916
1408,Thaliastraße/Haberlgasse,48.209917,16.3296287,Straßenbahn,916
1409,Schuhmeierplatz,48.2114924,16.3194863,Straßenbahn,916
1410,Thaliastraße/Haberlgasse,48.2098324,16.330352,Straßenbahn,916
1411,Ottakring,48.2126603,16.3116594,Straßenbahn,916
1412,Ottakring,48.2127054,16.311567,Bus,916
1413,Feßtgasse,48.2104879,16.3260742,Straßenbahn,916
1414,Maroltingergasse,48.2133866,16.3071227,Bus,916
1415,Thaliastraße/Brunnengasse,48.2090806,16.3350938,Straßenbahn,916
1416,Panikengasse,48.2085868,16.324482,Straßenbahn,916
1417,Camillo-Sitte-Gasse,48.2052117,16.3273836,Straßenbahn,916
1418,Panikengasse,48.2077445,16.3242477,Straßenbahn,916
1419,Feßtgasse,48.2108805,16.3252764,Straßenbahn,916
1420,Feßtgasse,48.2102436,16.3251039,Straßenbahn,916
1421,Camillo-Sitte-Gasse,48.2048541,16.3273046,Straßenbahn,915
1422,Frauengasse,48.2137126,16.3288024,Straßenbahn,916
1423,Frauengasse,48.2138316,16.3293135,Straßenbahn,917
1424,Johann-Nepomuk-Berger-Platz,48.2133681,16.3268519,Straßenbahn,916
1425,Johann-Nepomuk-Berger-Platz,48.2132201,16.3250979,Straßenbahn,916
1426,Johann-Nepomuk-Berger-Platz,48.2128612,16.3252655,Straßenbahn,916
1427,Antonigasse,48.2258272,16.3300243,Straßenbahn,917
1428,Rathaus,48.2092342,16.3555068,Straßenbahn,901
