DATE,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT
2020-10-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-11-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-12-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2021-01-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-02-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-03-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-04-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-05-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-06-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-07-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-08-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-09-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-10-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
2021-11-01,0.09418837675350701,0.0,0.345691382765531,0.25851703406813625,0.001002004008016032,0.004008016032064128,0.29659318637274545
