ZNR,DATE,DTVMS,ISTCOVID19,BEZIRK,AUSPENDLER,POP,PKW_DENSITY,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet,DTVMS_ensemble
1187,2026-06-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,21131.062394388195,18944.41950209909,19275.74320767097,21131.062394388195,18944.41950209909,19275.74320767097,19081.036416178693
1187,2026-07-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,24269.97378121532,19964.335528046107,18973.10021459513,24269.97378121532,19964.335528046107,18973.10021459513,19744.9127792805
1187,2026-08-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,22621.64850565727,18552.65155512658,17692.018547643172,22621.64850565727,18552.65155512658,17692.018547643172,18367.909613241485
1187,2026-09-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,20942.58510801161,18769.122413782698,19058.654936577448,20942.58510801161,18769.122413782698,19058.654936577448,18893.090443395988
1187,2026-10-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,20998.84213571658,18576.52978831152,18847.12215407736,20998.84213571658,18576.52978831152,18847.12215407736,18699.21214145889
1187,2026-11-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,21014.92109619332,18249.07756106758,18372.32550876318,21014.92109619332,18249.07756106758,18372.32550876318,18333.96927297602
1187,2026-12-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,19592.78592376265,16954.289703803865,17271.33262477366,19592.78592376265,16954.289703803865,17271.33262477366,17094.548160948354
1187,2027-01-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,19577.17192772671,15968.29712488864,16055.159348829377,19577.17192772671,15968.29712488864,16055.159348829377,16057.088011850316
1187,2027-02-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,21253.514836615417,17919.75531866812,18086.456626534746,21253.514836615417,17919.75531866812,18086.456626534746,18027.470550168007
1187,2027-03-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,21450.62385509006,17906.443461788098,18091.49071074053,21450.62385509006,17906.443461788098,18091.49071074053,18023.28251956656
1187,2027-04-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,22145.683269741363,17784.628987438344,17879.845612397196,22145.683269741363,17784.628987438344,17879.845612397196,17889.02879407471
1187,2027-05-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,21391.17915537849,18236.14617818161,18592.083766864995,21391.17915537849,18236.14617818161,18592.083766864995,18396.976852207772
1187,2027-06-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,22138.043281054124,18944.51683597842,19277.066807174386,22138.043281054124,18944.51683597842,19277.066807174386,19099.069278161885
1187,2027-07-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,25183.65924245265,19947.32850897394,18925.442310319057,25183.65924245265,19947.32850897394,18925.442310319057,19735.0389043806
1187,2027-08-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,23537.764093021164,18537.076339442163,17653.629973964264,23537.764093021164,18537.076339442163,17653.629973964264,18361.81400223263
1187,2027-09-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,21932.4867652189,18768.26770674336,19074.44387030067,21932.4867652189,18768.26770674336,19074.44387030067,18914.471333176327
1187,2027-10-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,21971.8224192076,18573.31024504313,18860.52417319969,21971.8224192076,18573.31024504313,18860.52417319969,18717.967607955117
1187,2027-11-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,21989.82169557608,18244.10344512095,18397.09469060273,21989.82169557608,18244.10344512095,18397.09469060273,18354.933617773233
1187,2027-12-01,,0.0,1230.0,0.1629077036367835,124177.08,529.128965926643,0.0934376397747237,0.0,0.3568033986776868,0.2364040392591551,0.00059289610402,0.0049096765594948,0.3078523496249193,20567.67420904681,16950.00774463785,17216.865630752214,20567.67420904681,16950.00774463785,17216.865630752214,17092.440465835425
1187,2028-01-01,,0.0,1230.0,0.1628408548638417,125349.78,529.1316253824475,0.0934853719552639,0.0,0.3584531070718691,0.2332672065962192,0.0005851314436035,0.0049323206216024,0.3092768623114417,20441.980537490395,15963.907562442806,16068.117831839212,20441.980537490395,15963.907562442806,16068.117831839212,16073.022058635543
1187,2028-02-01,,0.0,1230.0,0.1628408548638417,125349.78,529.1316253824475,0.0934853719552639,0.0,0.3584531070718691,0.2332672065962192,0.0005851314436035,0.0049323206216024,0.3092768623114417,22118.02374096791,17915.467853523623,18048.99021416092,22118.02374096791,17915.467853523623,18048.99021416092,18028.484828614197
1187,2028-03-01,,0.0,1230.0,0.1628408548638417,125349.78,529.1316253824475,0.0934853719552639,0.0,0.3584531070718691,0.2332672065962192,0.0005851314436035,0.0049323206216024,0.3092768623114417,22312.980645612,17902.102936094627,18097.170068914384,22312.980645612,17902.102936094627,18097.170068914384,18037.0442875278
