ZNR,DATE,DTVMS,ISTCOVID19,BEZIRK,AUSPENDLER,POP,PKW_DENSITY,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet
1075,2019-08-01,35074.0,0.0,1220.0,0.105,191008.0,435.53,0.071,0.0,0.2769999999999999,0.267,0.002,0.003,0.38,,,,35074.0,35074.0,35074.0
1075,2019-09-01,40647.0,0.0,1220.0,0.105,191008.0,435.53,0.071,0.0,0.2769999999999999,0.267,0.002,0.003,0.38,,,,40647.0,40647.0,40647.0
1075,2019-10-01,40710.0,0.0,1220.0,0.105,191008.0,435.53,0.071,0.0,0.2769999999999999,0.267,0.002,0.003,0.38,,,,40710.0,40710.0,40710.0
1075,2019-11-01,38023.0,0.0,1220.0,0.105,191008.0,435.53,0.071,0.0,0.2769999999999999,0.267,0.002,0.003,0.38,,,,38023.0,38023.0,38023.0
1075,2019-12-01,35483.0,0.0,1220.0,0.105,191008.0,435.53,0.071,0.0,0.2769999999999999,0.267,0.002,0.003,0.38,,,,35483.0,35483.0,35483.0
1075,2020-01-01,33586.0,0.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,33586.0,33586.0,33586.0
1075,2020-02-01,35373.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,35373.0,35373.0,35373.0
1075,2020-03-01,25597.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,25597.0,25597.0,25597.0
1075,2020-04-01,19889.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,19889.0,19889.0,19889.0
1075,2020-05-01,29777.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,29777.0,29777.0,29777.0
1075,2020-06-01,36995.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,36995.0,36995.0,36995.0
1075,2020-07-01,40606.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,40606.0,40606.0,40606.0
1075,2020-08-01,37329.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,37329.0,37329.0,37329.0
1075,2020-09-01,40124.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,40124.0,40124.0,40124.0
1075,2020-10-01,36773.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,36773.0,36773.0,36773.0
1075,2020-11-01,27490.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,27490.0,27490.0,27490.0
1075,2020-12-01,28280.0,1.0,1220.0,0.106,195230.0,428.85,0.086086086086086,0.0,0.3713713713713714,0.2692692692692692,0.0,0.005005005005005,0.2682682682682683,,,,28280.0,28280.0,28280.0
1075,2021-01-01,23431.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,23431.0,23431.0,23431.0
1075,2021-02-01,30475.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,30475.0,30475.0,30475.0
