ZNR,ZNAME,STRNR,RICHTUNG_1,RICHTUNG_2,LONGITUDE,LATITUDE,BEZIRK_NAME,BEZIRK_PLZ,BEZIRK_NR,BEZIRK_CODE
1618,Siemensstraße,B229,Siemensplatz,Leopoldauer Pl.,16.42902276359209,48.266568952151246,Floridsdorf,1210,21,921
1619,Breitenfurter Straße II,B13a,Liesinger Pl.,Zentrum,16.286390254659715,48.136975098468554,Liesing,1230,23,923
1620,Endresstraße,,Mauerer Hptpl.,Atzgersdf.,16.27111555715092,48.15045720869226,Liesing,1230,23,923
1621,Währinger Gürtel Nord/Süd,B221,,,16.343505558817167,48.22066837296194,Alsergrund,1090,9,909
1622,Himberger Str. II,B16,Zentrum,Leopoldsdf.,16.38338813782649,48.13683331343697,Favoriten,1100,10,910
1623,Breitenleer Straße II,,S2,Neu-Essling,16.51259364345841,48.25086790465338,Donaustadt,1220,22,922
1624,Seyringer Straße,,Wassermanngasse,Ernst-Klein-Gasse,16.457655754654876,48.27464013400161,Floridsdorf,1210,21,921
1625,Taubstummengasse,,,,16.369857947210054,48.19471389575945,Wieden,1040,4,904
1626,Ludwig-von-Höhnel-Gasse,B225,,,16.387066991189783,48.15894902602852,Favoriten,1100,10,910
1627,Felberstraße,B224,,,16.33477987864625,48.197304403121066,Rudolfsheim-Fünfhaus,1150,15,915
4001,Donaukanal,,,,16.36992002195684,48.25533762026831,Döbling,1190,19,919
4002,Lassalleestraße,,,,16.40126036405712,48.22391687147822,Leopoldstadt,1020,2,902
4003,Langobardenstraße,,,,16.46564167745038,48.21921566810169,Donaustadt,1220,22,922
4004,Linke Wienzeile,,,,16.315286850633854,48.18748288565047,Rudolfsheim-Fünfhaus,1150,15,915
4005,Neubaugürtel,,,,16.338699758907122,48.19864922176369,Neubau,1070,7,907
4006,Opernring Innen,,,,16.367368497479802,48.20295168557251,Innere Stadt,1010,1,901
4007,Argentinierstraße,,,,16.373535924275558,48.194397532526246,Wieden,1040,4,904
4008,Liesingbach,,,,16.312293147012525,48.15503519987428,Liesing,1230,23,923
4009,Opernring Außen,,,,16.367087463180653,48.202791019833874,Innere Stadt,1010,1,901
4010,Margaritensteg,,,,16.3547859745673,48.19527472811701,Margareten,1050,5,905
4011,Operngasse,,,,16.367045308706693,48.20070093804925,Innere Stadt,1010,1,901
4012,Praterstern,,,,16.3902160741493,48.21813736646044,Leopoldstadt,1020,2,902
