ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2021-12-01,11535,8141,3394,41.69,1625
2021-12-02,11535,8046,3489,43.36,1625
2021-12-03,10156,7860,2296,29.21,1625
2021-12-04,7262,6364,898,14.11,1625
2021-12-05,6215,5300,915,17.26,1625
2021-12-06,11658,7808,3850,49.31,1625
2021-12-07,11535,8068,3467,42.97,1625
2021-12-08,11535,8074,3461,42.87,1625
2021-12-09,11535,8159,3376,41.38,1625
2021-12-10,10156,8367,1789,21.38,1625
2021-12-11,7262,6454,808,12.52,1625
2021-12-12,6215,5852,363,6.2,1625
2021-12-13,11658,8124,3534,43.5,1625
2021-12-14,11535,8669,2866,33.06,1625
2021-12-15,11535,8840,2695,30.49,1625
2021-12-16,11535,8781,2754,31.36,1625
2021-12-17,10156,8916,1240,13.91,1625
2021-12-18,7262,7121,141,1.98,1625
2021-12-19,6215,6048,167,2.76,1625
2021-12-20,11658,8556,3102,36.26,1625
2021-12-21,11535,8874,2661,29.99,1625
2021-12-22,11535,8586,2949,34.35,1625
2021-12-23,11535,8494,3041,35.8,1625
2021-12-24,10156,8473,1683,19.86,1625
2021-12-25,7262,6856,406,5.92,1625
2021-12-26,6215,5393,822,15.24,1625
2021-12-27,11658,8050,3608,44.82,1625
2021-12-28,11535,8460,3075,36.35,1625
2021-12-29,11535,8212,3323,40.47,1625
2021-12-30,11535,8377,3158,37.7,1625
2021-12-31,10156,8173,1983,24.26,1625
2022-01-01,7896,6298,1598,25.37,1625
2022-01-02,5863,5991,-128,-2.14,1625
2022-01-03,10691,8131,2560,31.48,1625
2022-01-04,11280,8434,2846,33.74,1625
2022-01-05,11280,8018,3262,40.68,1625
2022-01-06,11280,8069,3211,39.79,1625
2022-01-07,11081,8053,3028,37.6,1625
2022-01-08,7896,6538,1358,20.77,1625
2022-01-09,5863,5391,472,8.76,1625
2022-01-10,10691,7821,2870,36.7,1625
2022-01-11,11280,8096,3184,39.33,1625
2022-01-12,11280,8139,3141,38.59,1625
2022-01-13,11280,8248,3032,36.76,1625
2022-01-14,11081,8083,2998,37.09,1625
2022-01-15,7896,6483,1413,21.8,1625
2022-01-16,5863,5394,469,8.69,1625
2022-01-17,10691,7803,2888,37.01,1625
2022-01-18,11280,8644,2636,30.5,1625
2022-01-19,11280,8431,2849,33.79,1625
2022-01-20,11280,8357,2923,34.98,1625
2022-01-21,11081,8328,2753,33.06,1625
2022-01-22,7896,6503,1393,21.42,1625
2022-01-23,5863,5689,174,3.06,1625
2022-01-24,10691,8243,2448,29.7,1625
2022-01-25,11280,8277,3003,36.28,1625
2022-01-26,11280,8490,2790,32.86,1625
2022-01-27,11280,8657,2623,30.3,1625
2022-01-28,11081,8801,2280,25.91,1625
2022-01-29,7896,7017,879,12.53,1625
2022-01-30,5863,5686,177,3.11,1625
2020-02-01,41812,32326,9486,29.34,1608
2020-02-02,37848,29238,8610,29.45,1608
2020-02-03,47596,40733,6863,16.85,1608
2020-02-04,48819,41810,7009,16.76,1608
2020-02-05,48819,41775,7044,16.86,1608
2020-02-06,48819,41673,7146,17.15,1608
2020-02-07,51126,42356,8770,20.71,1608
2020-02-08,41812,32072,9740,30.37,1608
2020-02-09,37848,28956,8892,30.71,1608
2020-02-10,47596,40437,7159,17.7,1608
2020-02-11,48819,41516,7303,17.59,1608
2020-02-12,48819,41498,7321,17.64,1608
2020-02-13,48819,41429,7390,17.84,1608
2020-02-14,51126,42159,8967,21.27,1608
2020-02-15,41812,31935,9877,30.93,1608
2020-02-16,37848,28890,8958,31.01,1608
2020-02-17,47596,40453,7143,17.66,1608
2020-02-18,48819,41621,7198,17.29,1608
2020-02-19,48819,41695,7124,17.09,1608
2020-02-20,48819,41721,7098,17.01,1608
2020-02-21,51126,42545,8581,20.17,1608
2020-02-22,41812,32413,9399,29.0,1608
2020-02-23,37848,29453,8395,28.5,1608
2020-02-24,47596,41093,6503,15.83,1608
2020-02-25,48819,42327,6492,15.34,1608
2020-02-26,48819,42455,6364,14.99,1608
2020-02-27,48819,42522,6297,14.81,1608
2020-02-28,51126,43372,7754,17.88,1608
2020-02-29,41812,33249,8563,25.75,1608
2020-03-01,25977,30284,-4307,-14.22,1608
2020-03-02,36790,41903,-5113,-12.2,1608
2020-03-03,36778,43102,-6324,-14.67,1608
2020-03-04,36778,43182,-6404,-14.83,1608
2020-03-05,36778,43188,-6410,-14.84,1608
2020-03-06,38405,43968,-5563,-12.65,1608
2020-03-07,29142,33766,-4624,-13.69,1608
2020-03-08,25977,30717,-4740,-15.43,1608
2020-03-09,36790,42249,-5459,-12.92,1608
2020-03-10,36778,43359,-6581,-15.18,1608
2020-03-11,36778,43352,-6574,-15.16,1608
2020-03-12,36778,43275,-6497,-15.01,1608
2020-03-13,38405,43978,-5573,-12.67,1608
2020-03-14,29142,33708,-4566,-13.55,1608
2020-03-15,25977,30600,-4623,-15.11,1608
2020-03-16,36790,42083,-5293,-12.58,1608
2020-03-17,36778,43158,-6380,-14.78,1608
2020-03-18,36778,43128,-6350,-14.72,1608
2020-03-19,36778,43040,-6262,-14.55,1608
2020-03-20,38405,43744,-5339,-12.21,1608
2020-03-21,29142,33487,-4345,-12.98,1608
2020-03-22,25977,30404,-4427,-14.56,1608
2020-03-23,36790,41921,-5131,-12.24,1608
2020-03-24,36778,43036,-6258,-14.54,1608
2020-03-25,36778,43054,-6276,-14.58,1608
2020-03-26,36778,43017,-6239,-14.5,1608
2020-03-27,38405,43775,-5370,-12.27,1608
2020-03-28,29142,33571,-4429,-13.19,1608
2020-03-29,25977,30538,-4561,-14.94,1608
2020-03-30,36790,42101,-5311,-12.61,1608
2020-03-31,36778,43257,-6479,-14.98,1608
2020-04-01,33578,43306,-9728,-22.46,1608
2020-04-02,33578,43293,-9715,-22.44,1608
2020-04-03,31688,44063,-12375,-28.08,1608
2020-04-04,23040,33863,-10823,-31.96,1608
2020-04-05,17880,30821,-12941,-41.99,1608
